Key,Additional_Info,Airline,Arrival_Time,Date_of_Journey,Dep_Time,Destination,Duration,Price,Route,Source,Total_Stops
10322,In-flight meal not included,Jet Airways,16-06-2023 19:00,15-06-2019,19:45,Cochin,23h 15m,10262,DEL ? BOM ? COK,Delhi,1 stop
1940,No info,Multiple carriers,19:15,27-06-2019,07:30,Cochin,11h 45m,8266,DEL ? BOM ? COK,Delhi,1 stop
3655,No info,IndiGo,10:40,24-06-2019,09:10,Hyderabad,1h 30m,4049,BOM ? HYD,Mumbai,non-stop
3075,No info,IndiGo,04:15,06-06-2019,01:30,Delhi,2h 45m,3943,BLR ? DEL,Banglore,non-stop
878,No check-in baggage included,SpiceJet,13:15,27-06-2019,08:45,Cochin,4h 30m,4760,DEL ? PNQ ? COK,Delhi,1 stop
8733,No info,IndiGo,22:50,09-06-2019,20:00,Delhi,2h 50m,4823,BLR ? DEL,Banglore,non-stop
10137,No info,Jet Airways,25-03-2023 18:10,24-03-2019,13:55,Banglore,28h 15m,14231,CCU ? BOM ? BLR,Kolkata,1 stop
7916,In-flight meal not included,Jet Airways,23:00,21-03-2019,11:40,New Delhi,11h 20m,6992,BLR ? BOM ? DEL,Banglore,1 stop
110,No info,Jet Airways,25-05-2023 19:00,24-05-2019,23:05,Cochin,19h 55m,15129,DEL ? AMD ? BOM ? COK,Delhi,2 stops
8605,No info,Air India,12:45,15-05-2019,10:00,Delhi,2h 45m,6961,BLR ? DEL,Banglore,non-stop
7450,No info,Jet Airways,19-05-2023 09:20,18-05-2019,21:10,Banglore,12h 10m,14388,CCU ? BOM ? BLR,Kolkata,1 stop
91,No info,Multiple carriers,22:30,27-05-2019,13:15,Cochin,9h 15m,9646,DEL ? HYD ? COK,Delhi,1 stop
7795,In-flight meal not included,Jet Airways,25-06-2023 04:25,24-06-2019,05:30,Cochin,22h 55m,10368,DEL ? JAI ? BOM ? COK,Delhi,2 stops
6979,No info,IndiGo,19:50,01-06-2019,17:15,Banglore,2h 35m,5224,CCU ? BLR,Kolkata,non-stop
9691,No info,Jet Airways,19:10,06-06-2019,09:35,Banglore,9h 35m,14151,CCU ? DEL ? BLR,Kolkata,1 stop
128,No info,Jet Airways,07-05-2023 12:00,06-05-2019,20:00,Banglore,16h,14388,CCU ? BOM ? BLR,Kolkata,1 stop
5557,No info,IndiGo,04-03-2023 00:55,03-03-2019,22:10,Banglore,2h 45m,5618,CCU ? BLR,Kolkata,non-stop
10096,No info,Vistara,14:10,21-03-2019,11:30,New Delhi,2h 40m,5403,BLR ? DEL,Banglore,non-stop
7075,No info,Jet Airways,19:00,27-05-2019,07:05,Cochin,11h 55m,16289,DEL ? BOM ? COK,Delhi,1 stop
2524,In-flight meal not included,Jet Airways,13-03-2023 09:30,09-03-2019,08:00,New Delhi,25h 30m,11087,BLR ? BOM ? DEL,Banglore,1 stop
2850,In-flight meal not included,Jet Airways,07-06-2023 04:25,06-06-2019,18:25,Cochin,10h,12142,DEL ? BDQ ? BOM ? COK,Delhi,2 stops
6545,No info,Air Asia,07:45,01-04-2019,04:55,Delhi,2h 50m,4282,BLR ? DEL,Banglore,non-stop
8280,No info,IndiGo,23:45,09-04-2019,19:20,Banglore,4h 25m,3574,CCU ? HYD ? BLR,Kolkata,1 stop
363,No info,Vistara,14:20,27-06-2019,11:30,Delhi,2h 50m,4668,BLR ? DEL,Banglore,non-stop
4010,No info,Jet Airways,25-03-2023 12:00,24-03-2019,13:55,Banglore,22h 5m,14231,CCU ? BOM ? BLR,Kolkata,1 stop
1425,No info,Jet Airways,07-03-2023 16:50,06-03-2019,14:20,Hyderabad,26h 30m,24115,BOM ? DED ? DEL ? HYD,Mumbai,2 stops
251,No info,Vistara,09:10,03-03-2019,06:00,Cochin,3h 10m,8001,DEL ? COK,Delhi,non-stop
7992,No info,Jet Airways,12:35,21-05-2019,02:15,Cochin,10h 20m,16376,DEL ? BOM ? COK,Delhi,1 stop
744,No info,Jet Airways,12:35,12-06-2019,05:30,Cochin,7h 5m,14441,DEL ? BHO ? BOM ? COK,Delhi,2 stops
8001,In-flight meal not included,Jet Airways,16-03-2023 10:25,18-03-2019,11:40,New Delhi,22h 45m,11087,BLR ? BOM ? DEL,Banglore,1 stop
5072,No info,Multiple carriers,21:00,24-06-2019,13:00,Cochin,8h,7408,DEL ? BOM ? COK,Delhi,1 stop
3315,No info,GoAir,10:40,21-04-2019,07:45,Delhi,2h 55m,4632,BLR ? DEL,Banglore,non-stop
3208,No info,IndiGo,23:30,24-05-2019,18:05,Banglore,5h 25m,6218,CCU ? NAG ? BLR,Kolkata,1 stop
8855,No info,Air Asia,13-03-2023 01:20,12-03-2019,22:50,Banglore,2h 30m,4082,CCU ? BLR,Kolkata,non-stop
1052,No info,Multiple carriers,19:00,09-06-2019,08:00,Cochin,11h,12192,DEL ? BOM ? COK,Delhi,1 stop
2492,In-flight meal not included,Jet Airways,04:20,18-06-2019,02:55,Hyderabad,1h 25m,4995,BOM ? HYD,Mumbai,non-stop
778,In-flight meal not included,Jet Airways,18:45,21-05-2019,15:50,Delhi,2h 55m,3359,BLR ? DEL,Banglore,non-stop
2074,In-flight meal not included,Jet Airways,10-05-2023 04:40,09-05-2019,14:05,Banglore,14h 35m,8586,CCU ? BOM ? BLR,Kolkata,1 stop
8918,No info,IndiGo,22:15,24-04-2019,17:05,Cochin,5h 10m,5912,DEL ? BLR ? COK,Delhi,1 stop
4996,No info,Multiple carriers,21:00,27-05-2019,08:00,Cochin,13h,7618,DEL ? BOM ? COK,Delhi,1 stop
6402,In-flight meal not included,Jet Airways,18:50,21-03-2019,09:00,Cochin,9h 50m,7438,DEL ? BOM ? COK,Delhi,1 stop
7837,No info,IndiGo,07:55,27-05-2019,06:25,Hyderabad,1h 30m,4049,BOM ? HYD,Mumbai,non-stop
2901,No info,Jet Airways,25-03-2023 18:10,24-03-2019,16:55,Banglore,25h 15m,14231,CCU ? BOM ? BLR,Kolkata,1 stop
5585,No info,SpiceJet,10:35,01-05-2019,08:20,Kolkata,2h 15m,3597,MAA ? CCU,Chennai,non-stop
819,No info,Multiple carriers,22-03-2023 01:35,21-03-2019,13:00,Cochin,12h 35m,13542,DEL ? BOM ? COK,Delhi,1 stop
6120,No info,Jet Airways,10-03-2023 04:25,09-03-2019,15:55,Cochin,12h 30m,19172,DEL ? DED ? BOM ? COK,Delhi,2 stops
10405,No info,Air India,13-06-2023 11:05,12-06-2019,09:10,Banglore,25h 55m,6117,CCU ? BBI ? HYD ? BLR,Kolkata,2 stops
310,No info,SpiceJet,19:40,24-04-2019,17:10,Banglore,2h 30m,4174,CCU ? BLR,Kolkata,non-stop
4221,No info,SpiceJet,10:35,24-06-2019,08:20,Kolkata,2h 15m,3597,MAA ? CCU,Chennai,non-stop
9058,In-flight meal not included,Jet Airways,07-03-2023 08:15,06-03-2019,14:05,New Delhi,18h 10m,13502,BLR ? BOM ? DEL,Banglore,1 stop
7066,No info,IndiGo,17:40,27-05-2019,14:25,Cochin,3h 15m,6015,DEL ? COK,Delhi,non-stop
3543,No info,Jet Airways,07-06-2023 18:00,06-06-2019,17:00,Banglore,25h,12692,CCU ? DEL ? BLR,Kolkata,1 stop
7776,No info,Multiple carriers,12:35,18-05-2019,06:00,Cochin,6h 35m,9794,DEL ? BOM ? COK,Delhi,1 stop
5799,No info,Jet Airways,19:00,15-06-2019,13:00,Cochin,6h,14714,DEL ? BOM ? COK,Delhi,1 stop
849,No info,Air India,16-05-2023 05:25,15-05-2019,09:25,Banglore,20h,14687,CCU ? BOM ? AMD ? BLR,Kolkata,2 stops
4635,No info,IndiGo,10:05,01-04-2019,07:10,Delhi,2h 55m,4823,BLR ? DEL,Banglore,non-stop
2354,In-flight meal not included,Jet Airways,19-03-2023 11:25,21-03-2019,16:55,New Delhi,18h 30m,7832,BLR ? BOM ? DEL,Banglore,1 stop
2597,No info,Jet Airways,25-05-2023 12:00,24-05-2019,20:00,Banglore,16h,14571,CCU ? BOM ? BLR,Kolkata,1 stop
4630,No info,SpiceJet,09:30,03-05-2019,06:55,Banglore,2h 35m,3873,CCU ? BLR,Kolkata,non-stop
4727,In-flight meal not included,Jet Airways,25-06-2023 19:00,24-06-2019,19:15,Cochin,23h 45m,10262,DEL ? BOM ? COK,Delhi,1 stop
247,In-flight meal not included,Jet Airways,10-06-2023 04:25,09-06-2019,19:15,Cochin,9h 10m,10577,DEL ? BOM ? COK,Delhi,1 stop
796,No Info,IndiGo,21:50,01-03-2019,16:55,New Delhi,4h 55m,8153,BLR ? HYD ? DEL,Banglore,1 stop
9901,No info,SpiceJet,18:50,09-05-2019,11:35,Banglore,7h 15m,8479,CCU ? KNU ? BLR,Kolkata,1 stop
10457,No info,Jet Airways,08-03-2023 18:50,06-03-2019,19:10,Cochin,47h 40m,20694,DEL ? AMD ? BOM ? COK,Delhi,2 stops
1351,In-flight meal not included,Jet Airways,19:00,21-05-2019,11:30,Cochin,7h 30m,12898,DEL ? BOM ? COK,Delhi,1 stop
919,No info,Jet Airways,16-06-2023 04:25,15-06-2019,09:40,Cochin,18h 45m,13014,DEL ? JAI ? BOM ? COK,Delhi,2 stops
9862,No info,SpiceJet,10:35,03-03-2019,08:20,Kolkata,2h 15m,7050,MAA ? CCU,Chennai,non-stop
8413,In-flight meal not included,Jet Airways,28-03-2023 19:45,27-03-2019,05:25,Cochin,38h 20m,9254,DEL ? IDR ? BOM ? COK,Delhi,2 stops
10145,In-flight meal not included,Jet Airways,25-05-2023 20:45,24-05-2019,18:55,Banglore,25h 50m,10844,CCU ? BOM ? BLR,Kolkata,1 stop
5546,No info,Air India,16-03-2023 10:35,18-03-2019,08:50,New Delhi,25h 45m,11885,BLR ? BOM ? NAG ? DEL,Banglore,2 stops
10318,No info,IndiGo,04:05,21-05-2019,02:35,Hyderabad,1h 30m,2754,BOM ? HYD,Mumbai,non-stop
8171,No info,Jet Airways,07-03-2023 09:00,06-03-2019,08:55,New Delhi,24h 5m,15025,BLR ? BOM ? DEL,Banglore,1 stop
2932,No info,Air India,19:45,24-04-2019,17:00,Delhi,2h 45m,6121,BLR ? DEL,Banglore,non-stop
214,No info,Multiple carriers,19:15,03-06-2019,08:30,Cochin,10h 45m,7677,DEL ? BOM ? COK,Delhi,1 stop
8706,No info,Air India,21:10,24-06-2019,18:05,Cochin,3h 5m,5201,DEL ? COK,Delhi,non-stop
429,No info,SpiceJet,10-04-2023 00:05,09-04-2019,21:10,Delhi,2h 55m,3971,BLR ? DEL,Banglore,non-stop
7650,No info,Vistara,07-05-2023 09:05,06-05-2019,07:10,Banglore,25h 55m,8137,CCU ? DEL ? BLR,Kolkata,1 stop
2308,No info,Air Asia,22:25,27-06-2019,07:55,Cochin,14h 30m,6152,DEL ? BLR ? COK,Delhi,1 stop
1505,No info,IndiGo,04:15,09-06-2019,01:30,Delhi,2h 45m,4077,BLR ? DEL,Banglore,non-stop
117,No info,Air India,07-03-2023 09:25,06-03-2019,17:20,Cochin,16h 5m,12677,DEL ? MAA ? COK,Delhi,1 stop
8659,No info,IndiGo,06:50,21-04-2019,04:00,Delhi,2h 50m,4423,BLR ? DEL,Banglore,non-stop
6728,No info,IndiGo,10:40,01-05-2019,09:10,Hyderabad,1h 30m,4575,BOM ? HYD,Mumbai,non-stop
9647,No info,Jet Airways,07-05-2023 08:15,06-05-2019,18:55,Banglore,13h 20m,13584,CCU ? BOM ? BLR,Kolkata,1 stop
3314,In-flight meal not included,Jet Airways,04:20,06-05-2019,02:55,Hyderabad,1h 25m,3210,BOM ? HYD,Mumbai,non-stop
6359,No info,IndiGo,21:35,15-03-2019,16:50,New Delhi,4h 45m,10406,BLR ? NAG ? DEL,Banglore,1 stop
3148,In-flight meal not included,Jet Airways,10-05-2023 19:00,09-05-2019,19:15,Cochin,23h 45m,12373,DEL ? BOM ? COK,Delhi,1 stop
10613,In-flight meal not included,Jet Airways,21:20,09-03-2019,08:00,New Delhi,13h 20m,11087,BLR ? BOM ? DEL,Banglore,1 stop
7344,In-flight meal not included,Multiple carriers,19:15,24-06-2019,10:20,Cochin,8h 55m,7268,DEL ? BOM ? COK,Delhi,1 stop
4909,No info,Multiple carriers,10-05-2023 01:30,09-05-2019,15:00,Cochin,10h 30m,15078,DEL ? BOM ? COK,Delhi,1 stop
2353,No info,Air India,23:55,27-04-2019,21:05,Delhi,2h 50m,5228,BLR ? DEL,Banglore,non-stop
2613,No info,Jet Airways,13-06-2023 08:15,12-06-2019,18:55,Banglore,13h 20m,13044,CCU ? BOM ? BLR,Kolkata,1 stop
4424,In-flight meal not included,Jet Airways,07-05-2023 04:40,06-05-2019,06:30,Banglore,22h 10m,8586,CCU ? BOM ? BLR,Kolkata,1 stop
2442,No info,IndiGo,10:40,15-03-2019,09:10,Hyderabad,1h 30m,4049,BOM ? HYD,Mumbai,non-stop
3472,No info,Air India,13:55,01-06-2019,11:40,Kolkata,2h 15m,4667,MAA ? CCU,Chennai,non-stop
2690,No info,IndiGo,17:40,12-05-2019,14:25,Cochin,3h 15m,5000,DEL ? COK,Delhi,non-stop
6443,No info,Jet Airways,19:00,06-06-2019,05:30,Cochin,13h 30m,13292,DEL ? IDR ? BOM ? COK,Delhi,2 stops
8557,In-flight meal not included,Multiple carriers,07-03-2023 01:35,06-03-2019,13:00,Cochin,12h 35m,15136,DEL ? BOM ? COK,Delhi,1 stop
7674,No info,IndiGo,04-03-2023 01:35,03-03-2019,20:30,Cochin,5h 5m,8258,DEL ? BOM ? COK,Delhi,1 stop
9260,No info,Jet Airways,07-03-2023 08:15,06-03-2019,14:05,New Delhi,18h 10m,14815,BLR ? BOM ? DEL,Banglore,1 stop
8121,No info,IndiGo,12:30,06-06-2019,07:15,Cochin,5h 15m,6582,DEL ? MAA ? COK,Delhi,1 stop
2166,In-flight meal not included,Jet Airways,25-05-2023 09:20,24-05-2019,16:30,Banglore,16h 50m,9663,CCU ? BOM ? BLR,Kolkata,1 stop
2621,No info,Jet Airways,07-05-2023 19:10,06-05-2019,17:00,Banglore,26h 10m,13067,CCU ? DEL ? BLR,Kolkata,1 stop
9366,In-flight meal not included,Jet Airways,16:20,01-04-2019,06:30,Banglore,9h 50m,7851,CCU ? BOM ? BLR,Kolkata,1 stop
9548,No info,Air India,07-03-2023 06:50,06-03-2019,05:15,Cochin,25h 35m,11522,DEL ? TRV ? COK,Delhi,1 stop
3989,No info,Multiple carriers,28-06-2023 01:30,27-06-2019,14:00,Cochin,11h 30m,13377,DEL ? BOM ? COK,Delhi,1 stop
9833,No info,Air Asia,25-06-2023 06:35,24-06-2019,16:45,Cochin,13h 50m,6752,DEL ? BLR ? COK,Delhi,1 stop
1469,No info,Jet Airways,13-03-2023 12:25,12-03-2019,22:55,New Delhi,13h 30m,13817,BLR ? BOM ? DEL,Banglore,1 stop
8503,No info,Air India,23:45,15-03-2019,05:50,New Delhi,17h 55m,7664,BLR ? CCU ? BBI ? DEL,Banglore,2 stops
2121,No info,Jet Airways,02-06-2023 19:00,01-06-2019,19:15,Cochin,23h 45m,14714,DEL ? BOM ? COK,Delhi,1 stop
6920,No info,IndiGo,15:35,15-06-2019,13:15,Kolkata,2h 20m,3597,MAA ? CCU,Chennai,non-stop
8341,No info,Jet Airways,02-05-2023 04:40,01-05-2019,14:05,Banglore,14h 35m,13941,CCU ? BOM ? BLR,Kolkata,1 stop
7772,In-flight meal not included,Jet Airways,22-05-2023 18:15,21-05-2019,21:10,Banglore,21h 5m,10844,CCU ? BOM ? BLR,Kolkata,1 stop
7891,No info,Air India,22-05-2023 09:25,21-05-2019,06:05,Cochin,27h 20m,7480,DEL ? MAA ? COK,Delhi,1 stop
5332,No info,Vistara,23:25,21-05-2019,17:00,Banglore,6h 25m,9345,CCU ? DEL ? BLR,Kolkata,1 stop
10445,No info,Jet Airways,16:20,21-05-2019,08:25,Banglore,7h 55m,14781,CCU ? BOM ? BLR,Kolkata,1 stop
1499,No info,Air India,16-05-2023 08:15,15-05-2019,20:30,Cochin,11h 45m,10671,DEL ? BLR ? COK,Delhi,1 stop
998,No info,Multiple carriers,19:00,27-05-2019,09:00,Cochin,10h,10407,DEL ? BOM ? COK,Delhi,1 stop
4427,In-flight meal not included,Jet Airways,19:00,21-05-2019,09:40,Cochin,9h 20m,13029,DEL ? JAI ? BOM ? COK,Delhi,2 stops
7948,No info,Air India,10-03-2023 19:15,09-03-2019,18:30,Cochin,24h 45m,18211,DEL ? LKO ? BOM ? COK,Delhi,2 stops
6813,In-flight meal not included,Jet Airways,02-04-2023 22:35,01-04-2019,18:55,Banglore,27h 40m,7064,CCU ? BOM ? BLR,Kolkata,1 stop
2249,No info,Multiple carriers,21:20,21-03-2019,09:45,Cochin,11h 35m,7178,DEL ? HYD ? MAA ? COK,Delhi,2 stops
10282,No info,Multiple carriers,22-05-2023 01:30,21-05-2019,16:00,Cochin,9h 30m,14067,DEL ? BOM ? COK,Delhi,1 stop
9042,No info,Multiple carriers,21:00,18-05-2019,11:30,Cochin,9h 30m,13727,DEL ? BOM ? COK,Delhi,1 stop
3478,No info,Air India,16:10,21-04-2019,13:20,Delhi,2h 50m,6121,BLR ? DEL,Banglore,non-stop
7879,In-flight meal not included,Jet Airways,20:20,21-03-2019,14:05,New Delhi,6h 15m,7832,BLR ? BOM ? DEL,Banglore,1 stop
